id,score_tag,agreement,subjectivity,confidence,irony,anger,joy,fear,sadness,surprise,word_number,class
16,N+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.295683563,0.07913743,0.109695166,0.506653309,0.008830623,218,1
17,N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.606562793,0.047456592,0.061639868,0.262846768,0.021493994,47,1
18,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.533300161,0.047865309,0.020802042,0.143088371,0.254944056,56,1
19,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.711521327,0.044587959,0.028469374,0.208885089,0.006536253,75,1
20,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.570907414,0.029184204,0.054913338,0.337476015,0.007519006,241,1
21,P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.694138408,0.017061232,0.054520294,0.223855048,0.010425003,189,1
22,NEU,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.80292356,0.015524713,0.028351335,0.131960139,0.021240287,235,1
23,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.530593753,0.076210842,0.142920062,0.196916535,0.053358797,216,1
24,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.701618612,0.007438535,0.032107532,0.251341015,0.007494361,29,1
25,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.397918522,0.030639531,0.149261296,0.400035679,0.022145033,52,1
26,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.741540372,0.042154029,0.076131284,0.135915563,0.004258749,48,1
27,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.712532282,0.009276403,0.077602804,0.19412379,0.006464773,73,1
28,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.211779833,0.181827873,0.085777491,0.491557121,0.02905767,128,1
29,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.601530194,0.085507318,0.094206266,0.200116754,0.018639445,111,1
30,P+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.713801265,0.038273498,0.020854622,0.160910398,0.066160135,118,1
31,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.590999722,0.034634087,0.029501114,0.31926468,0.025600411,151,1
32,N,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.388356924,0.040191486,0.060728379,0.469380975,0.041342244,103,1
33,N,AGREEMENT,SUBJECTIVE,90,IRONIC,0.425674915,0.038291857,0.06227161,0.454411626,0.019349989,116,1
34,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.390713155,0.108129665,0.172703698,0.303205609,0.025247831,61,1
35,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.371632367,0.160040677,0.087121561,0.352119088,0.029086318,56,1
36,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.294241905,0.053514309,0.249544472,0.386587679,0.016111668,128,1
37,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.149024755,0.118528739,0.137631923,0.551640391,0.043174174,71,1
38,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.331390977,0.073258385,0.180779487,0.377769828,0.036801293,90,1
39,P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.64812696,0.071060307,0.046396494,0.070651092,0.163765162,202,1
40,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.517526269,0.030932683,0.125807375,0.321962118,0.003771531,42,1
41,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.701913834,0.035846125,0.030441836,0.199037835,0.032760404,117,1
42,N,AGREEMENT,SUBJECTIVE,82,IRONIC,0.355927169,0.117444098,0.078245103,0.39477241,0.053611264,125,1
43,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.627726495,0.018071814,0.056167476,0.28106603,0.016968193,41,1
44,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.697382927,0.009729437,0.049484566,0.238823205,0.004579832,68,1
45,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.596020818,0.019076232,0.173122525,0.194876403,0.01690401,88,1
46,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.469804645,0.045276634,0.054752968,0.383299023,0.046866748,421,1
47,P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.775664806,0.02460973,0.058806524,0.117398053,0.023520797,88,1
48,P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.532557905,0.032479707,0.161814213,0.207501262,0.065646939,117,1
49,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.64475441,0.047435723,0.036730189,0.244223371,0.026856307,120,1
50,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.72023052,0.0322484,0.041243181,0.198203132,0.00807476,7,1
51,N+,AGREEMENT,OBJECTIVE,98,NONIRONIC,0.135085851,0.196224689,0.070085861,0.163609296,0.43499431,136,1
52,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.654635072,0.041098829,0.033243038,0.256524563,0.014498469,62,1
53,NEU,DISAGREEMENT,SUBJECTIVE,82,IRONIC,0.592656255,0.028497182,0.028642397,0.335006595,0.015197554,97,1
54,NEU,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.623540938,0.049564157,0.069603473,0.20047015,0.056821268,79,1
55,N,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.578829646,0.077491999,0.088984989,0.20514819,0.049545165,247,1
56,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.499275208,0.059835274,0.176305264,0.250750661,0.013833603,45,1
57,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.849471211,0.00963811,0.011506008,0.066460617,0.062924154,34,1
58,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.585791469,0.066412605,0.106112987,0.233502626,0.008180339,182,1
59,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.60077107,0.009854607,0.202223331,0.18515408,0.001996804,97,1
60,N,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.707151771,0.017502192,0.022350743,0.241821662,0.011173613,96,1
61,P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.608358204,0.118766993,0.040233061,0.223345816,0.009295993,177,1
62,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.606135607,0.022838593,0.150272429,0.209002703,0.011750661,62,1
63,N,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.681919634,0.028666148,0.197841674,0.075372234,0.016200365,37,1
64,P,DISAGREEMENT,OBJECTIVE,86,NONIRONIC,0.340086669,0.020852637,0.220316097,0.414253831,0.004490771,34,1
65,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.786107361,0.006523287,0.020191804,0.185283467,0.001894038,186,1
66,N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.14036423,0.100079164,0.503562152,0.219968766,0.036025696,205,1
67,N,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.551577926,0.041665684,0.028299015,0.333121955,0.045335416,75,1
68,N+,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.301222026,0.112847343,0.187075689,0.381462812,0.017392168,155,1
69,NEU,DISAGREEMENT,SUBJECTIVE,81,NONIRONIC,0.684269071,0.033129785,0.097915605,0.176253244,0.008432319,51,1
70,N,AGREEMENT,SUBJECTIVE,90,NONIRONIC,0.514134824,0.0660806,0.044460513,0.20399645,0.171327576,153,1
71,N,AGREEMENT,SUBJECTIVE,89,NONIRONIC,0.608584344,0.031386133,0.068517193,0.242882639,0.048629694,64,1
72,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.597192764,0.046031076,0.071338579,0.270456612,0.014981003,155,1
73,N,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.474242032,0.115384713,0.087993294,0.25346458,0.068915375,107,1
74,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.554634988,0.102836207,0.047114417,0.212005451,0.083408959,185,1
75,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.468367159,0.023861833,0.024588447,0.475605547,0.007577009,182,1
76,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.555210531,0.095651418,0.084576629,0.227088541,0.03747284,145,1
77,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.613359034,0.011349326,0.120585263,0.190663531,0.064042829,61,1
78,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.559161007,0.016464842,0.039004255,0.336010605,0.049359314,104,1
79,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.603794217,0.082945786,0.089257136,0.192891389,0.031111499,169,1
80,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.232580841,0.265597641,0.10863097,0.19295302,0.200237557,49,1
81,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.264804453,0.407524645,0.066378221,0.211158916,0.050133727,71,1
82,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.810269833,0.022160854,0.039775301,0.112827793,0.014966224,50,1
83,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.882372022,0.002499661,0.012457551,0.097682744,0.004988051,167,1
84,N,DISAGREEMENT,SUBJECTIVE,82,IRONIC,0.538558245,0.050085232,0.137179583,0.252868652,0.021308305,55,1
85,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.736955523,0.004567353,0.042182125,0.212388486,0.003906449,88,1
86,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.804897904,0.008995664,0.069593929,0.093108304,0.023404211,108,1
87,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.621657848,0.013651785,0.054309651,0.301296681,0.00908407,104,1
88,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.22691147,0.111324117,0.108675197,0.467802346,0.085286863,191,1
89,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.488160938,0.098827273,0.057890184,0.230219662,0.124901973,62,1
90,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.569388151,0.050805252,0.072493955,0.22609216,0.081220485,45,1
91,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.681300521,0.013385189,0.025068484,0.278663397,0.001582441,120,1
92,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.522806108,0.080625236,0.081641346,0.246213645,0.068713687,317,1
93,NEU,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.363154352,0.217165768,0.117545888,0.209796786,0.092337206,93,1
94,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.529199839,0.099526636,0.124687612,0.212318882,0.034267038,143,1
95,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.446134418,0.068385758,0.198558465,0.261019886,0.025901457,85,1
96,P,DISAGREEMENT,OBJECTIVE,83,NONIRONIC,0.419108748,0.048970133,0.132297039,0.327171445,0.072452635,102,1
97,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.49535051,0.069001466,0.09647727,0.3037723,0.035398487,79,1
98,N+,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.645800233,0.023870753,0.036959544,0.286574781,0.006794677,111,1
99,P,AGREEMENT,SUBJECTIVE,82,IRONIC,0.37418735,0.11153464,0.299833596,0.1751827,0.039261747,45,1
100,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.68311882,0.01353061,0.064638197,0.23533386,0.003378527,180,1
101,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.476755112,0.038327813,0.137990981,0.311824501,0.035101604,92,1
102,N,AGREEMENT,SUBJECTIVE,90,NONIRONIC,0.633857489,0.04124302,0.0935257,0.21357362,0.017800182,47,1
103,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.527796984,0.016397003,0.068874456,0.373505473,0.013426051,66,1
104,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.841313064,0.017223651,0.01176072,0.120555356,0.009147263,93,1
105,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.565474391,0.039966591,0.091646239,0.290078223,0.012834564,155,1
106,N+,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.46312502,0.027968647,0.102325939,0.353550404,0.053029962,128,1
107,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.402953833,0.045012251,0.061678328,0.323811382,0.166544199,120,1
108,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.79387784,0.008801125,0.016425904,0.164127707,0.016767446,299,1
109,N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.622450471,0.019056095,0.031600852,0.286047816,0.040844828,77,1
110,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.722193301,0.031394772,0.0278788,0.188011616,0.030521505,192,1
111,N,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.73666501,0.012017826,0.02185904,0.216326684,0.013131492,57,1
112,N+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.351448983,0.165710568,0.08141619,0.276076734,0.125347555,95,1
113,NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.374249071,0.040126227,0.03216349,0.511003852,0.042457387,30,1
114,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.875219464,0.003702716,0.010094989,0.109584369,0.00139851,62,1
115,N,AGREEMENT,SUBJECTIVE,82,IRONIC,0.557067275,0.100639954,0.11347425,0.215189338,0.013629191,40,1
116,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.587422013,0.023857702,0.08632119,0.251533419,0.050865665,383,1
117,P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.463597596,0.048147537,0.070751347,0.389868379,0.027635198,41,1
118,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.353762329,0.046862762,0.04661173,0.276934564,0.2758286,55,1
119,NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.297263384,0.015866106,0.219515458,0.417188942,0.050166152,185,1
120,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.396646589,0.035885017,0.106741741,0.449739218,0.010987449,107,1
121,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.567170501,0.050778281,0.075593762,0.17600435,0.13045314,52,1
122,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.740723848,0.025517602,0.038006172,0.194743991,0.001008433,40,1
123,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.557224512,0.106228478,0.045700919,0.270408511,0.020437608,132,1
124,P,DISAGREEMENT,SUBJECTIVE,81,IRONIC,0.634506702,0.05935052,0.083408244,0.210081786,0.012652799,32,1
125,P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.108249366,0.475385159,0.042147044,0.234425902,0.139792517,317,1
126,NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.719696939,0.014802035,0.031186074,0.222970605,0.011344329,198,1
127,N,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.785428286,0.044776581,0.034048431,0.125649199,0.010097508,231,1
128,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.397140145,0.109081224,0.060386449,0.336455077,0.096937098,40,1
129,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.251745373,0.205227658,0.217426091,0.282954097,0.042646799,52,1
130,N+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.788224578,0.032274626,0.03179384,0.12894696,0.018760026,50,1
131,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.458059102,0.04463885,0.069780454,0.389323115,0.038198449,63,1
132,N+,AGREEMENT,SUBJECTIVE,82,IRONIC,0.55847311,0.019413067,0.019124262,0.310849816,0.092139788,94,1
133,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.519464314,0.055346645,0.225362778,0.177234873,0.022591406,188,1
134,N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.612891197,0.076622352,0.163980484,0.13042599,0.016079983,140,1
135,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.583141565,0.013670042,0.060309835,0.24886179,0.094016805,107,1
136,N,AGREEMENT,SUBJECTIVE,89,NONIRONIC,0.43526116,0.023509827,0.114543006,0.39632383,0.03036228,72,1
137,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.678592145,0.021003149,0.065906994,0.18542406,0.049073655,108,1
138,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.60117054,0.025698027,0.104626074,0.259063154,0.009442171,120,1
139,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.708950818,0.015175617,0.019377045,0.242096543,0.014399923,59,1
140,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.416617334,0.061304785,0.087012522,0.414979517,0.020085825,123,1
141,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.478717834,0.053611502,0.285175115,0.180729076,0.001766482,75,1
142,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.557133734,0.021237751,0.031118087,0.374268234,0.016242156,446,1
143,P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.515250742,0.088766523,0.091597974,0.289327294,0.015057424,31,1
144,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.695685685,0.01221716,0.061863329,0.220393643,0.009840193,341,1
145,NEU,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.595450401,0.023525208,0.100578643,0.262373686,0.01807203,36,1
146,N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.587308764,0.008416083,0.039642006,0.357141942,0.007491288,161,1
147,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.278493226,0.287896991,0.094366163,0.317996025,0.021247612,130,1
148,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.385397673,0.040014639,0.02834215,0.522414446,0.023831088,56,1
149,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.218341708,0.037426937,0.106229365,0.592037201,0.045964837,240,1
150,NEU,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.555283129,0.02979931,0.045143414,0.344200253,0.02557392,81,1
151,NEU,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.631324768,0.020479273,0.037938062,0.292405367,0.017852521,70,1
152,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.782126248,0.01596643,0.023993975,0.176364586,0.001548726,60,1
153,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.435378879,0.059061736,0.076254956,0.40691191,0.022392517,264,1
154,P,DISAGREEMENT,SUBJECTIVE,81,NONIRONIC,0.61051929,0.036400888,0.049456812,0.278854936,0.024768043,57,1
155,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.355650961,0.07906609,0.09662351,0.400977671,0.067681745,59,1
156,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.400164962,0.084283724,0.11953859,0.367659152,0.028353622,183,1
157,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.584082425,0.085582078,0.1526452,0.149965644,0.027724635,53,1
158,N,AGREEMENT,SUBJECTIVE,90,IRONIC,0.792806387,0.040637769,0.018734116,0.134322703,0.013499028,26,1
159,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.461231411,0.029103979,0.047217406,0.457746267,0.004700976,48,1
160,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.577152491,0.014841981,0.046392456,0.350855827,0.010757254,107,1
161,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.528098047,0.033196673,0.09782894,0.321736604,0.019139705,57,1
162,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.483695984,0.05606946,0.140582621,0.264923334,0.05472862,208,1
163,P+,DISAGREEMENT,SUBJECTIVE,81,NONIRONIC,0.39769277,0.092723459,0.063862406,0.280373573,0.165347725,119,1
164,N,DISAGREEMENT,SUBJECTIVE,81,NONIRONIC,0.439316601,0.038454413,0.10042724,0.370872051,0.050929695,83,1
165,N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.90728569,0.010849504,0.011337513,0.067235738,0.003291545,53,1
166,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.653545737,0.010329881,0.194801539,0.135612518,0.005710371,80,1
167,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.550464511,0.017780766,0.036257587,0.380593896,0.014903259,82,1
168,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.507192731,0.087312855,0.107841596,0.284695506,0.012957305,112,1
169,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.471165776,0.060659658,0.089544222,0.345030606,0.033599697,39,1
170,NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.625231385,0.009537817,0.192432076,0.153439417,0.019359263,52,1
171,NEU,DISAGREEMENT,OBJECTIVE,86,NONIRONIC,0.717611551,0.012922161,0.04007937,0.225061864,0.00432505,111,1
172,P,AGREEMENT,SUBJECTIVE,90,NONIRONIC,0.674778581,0.034641158,0.055469729,0.213939711,0.021170884,55,1
173,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.411873758,0.162445173,0.061682075,0.320186645,0.043812368,30,1
174,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.225627214,0.016598079,0.091126665,0.467014909,0.199633136,39,1
175,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.24456279,0.007567417,0.063877046,0.66254735,0.021445354,76,1
176,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.546006739,0.053729966,0.028813673,0.348067582,0.023381986,40,1
177,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.463446379,0.027151711,0.035319865,0.312221467,0.161860541,118,1
178,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.369407326,0.082152337,0.192670286,0.332569063,0.023200974,151,1
179,NEU,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.489654034,0.057126906,0.148341298,0.252397418,0.052480385,86,1
180,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.492452919,0.076165475,0.046559684,0.332016796,0.052805163,527,1
181,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.134073421,0.194937378,0.043690227,0.424678832,0.202620164,97,1
182,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.30484581,0.136754453,0.109530419,0.406235546,0.042633787,74,1
183,N,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.764608622,0.020556202,0.046064198,0.158314362,0.01045669,169,1
184,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.773421764,0.029347394,0.048331659,0.139787361,0.009111895,117,1
185,P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.187282935,0.109283492,0.252354771,0.417612076,0.033466734,110,1
186,NEU,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.641618252,0.010954638,0.111645103,0.21673727,0.019044697,213,1
187,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.439993978,0.035419188,0.090651982,0.413091689,0.020843176,20,1
188,N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.185572714,0.037653301,0.024570234,0.552903473,0.199300304,310,1
189,P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.211939916,0.232944891,0.121273547,0.363469511,0.070372097,116,1
190,P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.096728802,0.398855597,0.053417504,0.181790084,0.269208014,103,1
191,N,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.562960505,0.061483517,0.077585146,0.261842132,0.036128707,123,1
192,N+,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.657766104,0.032904223,0.048825126,0.249756709,0.01074786,159,1
193,N,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.562875509,0.012642093,0.05078141,0.369016826,0.004684123,126,1
194,P,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.559147,0.029315574,0.133457631,0.266551435,0.01152838,28,1
195,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.488728523,0.013474115,0.072632514,0.421334743,0.00383009,77,1
196,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.569391131,0.03963998,0.052419029,0.306421697,0.032128211,153,1
197,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.672502995,0.042851258,0.041764162,0.226739511,0.016142029,52,1
198,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.586637855,0.025854923,0.039234899,0.240809321,0.107462935,74,1
199,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.504476607,0.031581059,0.114719316,0.327480048,0.021743003,69,1
200,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.588954091,0.02803554,0.154294133,0.196679503,0.032036681,89,1
201,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.730964065,0.019221999,0.04927548,0.19217591,0.008362544,32,1
202,N,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.477015793,0.023156822,0.027636582,0.318177581,0.154013261,125,1
203,N+,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.638075709,0.013409431,0.060461953,0.280903816,0.007149083,89,1
204,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.729814649,0.009201627,0.053105243,0.201006949,0.00687154,103,1
205,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.499603599,0.064195931,0.04925558,0.266874492,0.120070443,246,1
206,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.778802276,0.015086295,0.064227492,0.125641868,0.016242018,73,1
