id,score_tag,agreement,subjectivity,confidence,irony,anger,joy,fear,sadness,surprise,noAlphanumerics,negation_words,word_number,misspelled,extraversion,openness,agreeableness,conscientiousness,class
20,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.570907414,0.029184204,0.054913338,0.337476015,0.007519006,245,0,241,4,0.494052766,0.438311331,0.389831329,0.583698993,1
21,P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.694138408,0.017061232,0.054520294,0.223855048,0.010425003,198,44,189,8,0.413843611,0.52886445,0.370300689,0.534897226,1
22,NEU,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.80292356,0.015524713,0.028351335,0.131960139,0.021240287,252,22,235,14,0.439513769,0.510023843,0.411587927,0.538899287,1
23,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.530593753,0.076210842,0.142920062,0.196916535,0.053358797,221,33,216,6,0.486617869,0.521038133,0.446517622,0.603270887,1
24,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.701618612,0.007438535,0.032107532,0.251341015,0.007494361,31,11,29,0,0.490922822,0.547892858,0.353629702,0.519394439,1
25,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.397918522,0.030639531,0.149261296,0.400035679,0.022145033,53,0,52,0,0.463805631,0.494711774,0.47543393,0.499529805,1
26,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.741540372,0.042154029,0.076131284,0.135915563,0.004258749,49,0,48,2,0.389185326,0.588395887,0.486514926,0.506896459,1
27,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.712532282,0.009276403,0.077602804,0.19412379,0.006464773,76,22,73,0,0.48428925,0.528353974,0.445995846,0.502009623,1
28,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.211779833,0.181827873,0.085777491,0.491557121,0.02905767,133,0,128,5,0.531947212,0.478015458,0.500440581,0.501302508,1
29,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.601530194,0.085507318,0.094206266,0.200116754,0.018639445,112,0,111,3,0.648283664,0.501855457,0.493957809,0.488381918,1
30,P+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.713801265,0.038273498,0.020854622,0.160910398,0.066160135,119,0,118,1,0.602323649,0.47555523,0.519844278,0.498563669,1
31,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.590999722,0.034634087,0.029501114,0.31926468,0.025600411,157,0,151,4,0.518441862,0.548068662,0.401129177,0.446986717,1
32,N,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.388356924,0.040191486,0.060728379,0.469380975,0.041342244,105,11,103,4,0.470195853,0.547700369,0.391653376,0.510689379,1
33,N,AGREEMENT,SUBJECTIVE,90,IRONIC,0.425674915,0.038291857,0.06227161,0.454411626,0.019349989,118,0,116,9,0.54228762,0.50915105,0.496425308,0.490155903,1
34,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.390713155,0.108129665,0.172703698,0.303205609,0.025247831,64,11,61,2,0.473425737,0.540380129,0.409704398,0.525785176,1
35,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.371632367,0.160040677,0.087121561,0.352119088,0.029086318,58,11,56,1,0.492205765,0.506241716,0.563818406,0.507045489,1
36,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.294241905,0.053514309,0.249544472,0.386587679,0.016111668,131,0,128,5,0.475845997,0.501754138,0.410852455,0.491932906,1
37,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.149024755,0.118528739,0.137631923,0.551640391,0.043174174,76,33,71,1,0.503628948,0.549636209,0.415867703,0.520168532,1
38,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.331390977,0.073258385,0.180779487,0.377769828,0.036801293,93,0,90,3,0.405104413,0.529850306,0.398211251,0.525207933,1
39,P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.64812696,0.071060307,0.046396494,0.070651092,0.163765162,208,11,202,10,0.419251509,0.658001526,0.39736595,0.457118834,1
40,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.517526269,0.030932683,0.125807375,0.321962118,0.003771531,44,11,42,0,0.574836344,0.58138501,0.435940012,0.497776653,1
41,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.701913834,0.035846125,0.030441836,0.199037835,0.032760404,120,22,117,4,0.487129839,0.565043502,0.35287413,0.456714773,1
42,N,AGREEMENT,SUBJECTIVE,82,IRONIC,0.355927169,0.117444098,0.078245103,0.39477241,0.053611264,129,22,125,2,0.54669601,0.522159218,0.402922682,0.501688428,1
43,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.627726495,0.018071814,0.056167476,0.28106603,0.016968193,46,33,41,1,0.476276125,0.495485428,0.468366141,0.526958293,1
44,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.697382927,0.009729437,0.049484566,0.238823205,0.004579832,72,33,68,3,0.420551231,0.475877266,0.336620373,0.562784279,1
45,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.596020818,0.019076232,0.173122525,0.194876403,0.01690401,90,11,88,5,0.482012908,0.544314732,0.380494859,0.495908692,1
46,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.469804645,0.045276634,0.054752968,0.383299023,0.046866748,438,22,421,8,0.470791613,0.479208186,0.546459706,0.545921265,1
47,P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.775664806,0.02460973,0.058806524,0.117398053,0.023520797,93,33,88,3,0.398802721,0.533479045,0.431126694,0.581463246,1
48,P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.532557905,0.032479707,0.161814213,0.207501262,0.065646939,140,0,117,2,0.5391118,0.562985125,0.518721027,0.450906091,1
49,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.64475441,0.047435723,0.036730189,0.244223371,0.026856307,124,22,120,2,0.504898155,0.577948594,0.45671137,0.482723508,1
50,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.72023052,0.0322484,0.041243181,0.198203132,0.00807476,8,0,7,0,0.523301169,0.598477907,0.507842641,0.445239604,1
51,N+,AGREEMENT,OBJECTIVE,98,NONIRONIC,0.135085851,0.196224689,0.070085861,0.163609296,0.43499431,142,44,136,4,0.487729564,0.353982611,0.526085544,0.477054838,1
52,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.654635072,0.041098829,0.033243038,0.256524563,0.014498469,65,11,62,2,0.48617087,0.501029608,0.394891453,0.516470181,1
53,NEU,DISAGREEMENT,SUBJECTIVE,82,IRONIC,0.592656255,0.028497182,0.028642397,0.335006595,0.015197554,98,0,97,3,0.538183092,0.454456229,0.536900466,0.496555683,1
54,NEU,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.623540938,0.049564157,0.069603473,0.20047015,0.056821268,81,0,79,1,0.463351631,0.437454881,0.434401159,0.525891291,1
55,N,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.578829646,0.077491999,0.088984989,0.20514819,0.049545165,256,11,247,9,0.621269535,0.619420162,0.358429205,0.428343903,1
56,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.499275208,0.059835274,0.176305264,0.250750661,0.013833603,46,0,45,0,0.425094299,0.518736977,0.404036878,0.528108447,1
57,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.849471211,0.00963811,0.011506008,0.066460617,0.062924154,35,0,34,3,0.495516362,0.527223965,0.495868344,0.523220028,1
58,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.585791469,0.066412605,0.106112987,0.233502626,0.008180339,225,11,182,3,0.571717099,0.486357809,0.49658124,0.493818382,1
59,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.60077107,0.009854607,0.202223331,0.18515408,0.001996804,99,11,97,2,0.486635259,0.455305,0.41850318,0.529859361,1
60,N,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.707151771,0.017502192,0.022350743,0.241821662,0.011173613,99,11,96,1,0.474949678,0.536196344,0.38185836,0.514207023,1
61,P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.608358204,0.118766993,0.040233061,0.223345816,0.009295993,183,0,177,2,0.464991492,0.458023075,0.390479497,0.53749703,1
62,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.606135607,0.022838593,0.150272429,0.209002703,0.011750661,69,0,62,1,0.523373966,0.454366796,0.50034187,0.50431212,1
63,N,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.681919634,0.028666148,0.197841674,0.075372234,0.016200365,38,0,37,2,0.432205825,0.566604478,0.377014063,0.509609692,1
64,P,DISAGREEMENT,OBJECTIVE,86,NONIRONIC,0.340086669,0.020852637,0.220316097,0.414253831,0.004490771,35,0,34,1,0.552572974,0.476200704,0.452761258,0.548543831,1
65,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.786107361,0.006523287,0.020191804,0.185283467,0.001894038,188,22,186,2,0.465982018,0.472597259,0.424324325,0.490861242,1
66,N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.14036423,0.100079164,0.503562152,0.219968766,0.036025696,209,0,205,8,0.443849395,0.567527676,0.367907376,0.489579252,1
67,N,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.551577926,0.041665684,0.028299015,0.333121955,0.045335416,76,0,75,0,0.473640925,0.477637091,0.416698646,0.510968288,1
68,N+,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.301222026,0.112847343,0.187075689,0.381462812,0.017392168,159,11,155,3,0.544986354,0.572558274,0.436833076,0.491009518,1
69,NEU,DISAGREEMENT,SUBJECTIVE,81,NONIRONIC,0.684269071,0.033129785,0.097915605,0.176253244,0.008432319,53,0,51,2,0.439658573,0.55775315,0.329286486,0.562263075,1
70,N,AGREEMENT,SUBJECTIVE,90,NONIRONIC,0.514134824,0.0660806,0.044460513,0.20399645,0.171327576,157,0,153,6,0.494043877,0.450224996,0.502827292,0.54351012,1
71,N,AGREEMENT,SUBJECTIVE,89,NONIRONIC,0.608584344,0.031386133,0.068517193,0.242882639,0.048629694,66,0,64,1,0.472383192,0.446532453,0.386499837,0.571662022,1
72,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.597192764,0.046031076,0.071338579,0.270456612,0.014981003,158,11,155,2,0.499656169,0.498900583,0.432128962,0.511316508,1
73,N,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.474242032,0.115384713,0.087993294,0.25346458,0.068915375,110,11,107,3,0.428831042,0.567880734,0.363145497,0.502128592,1
74,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.554634988,0.102836207,0.047114417,0.212005451,0.083408959,194,22,185,8,0.428268016,0.532704496,0.453407982,0.528854839,1
75,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.468367159,0.023861833,0.024588447,0.475605547,0.007577009,188,33,182,5,0.48636538,0.4492345,0.369508941,0.532568956,1
76,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.555210531,0.095651418,0.084576629,0.227088541,0.03747284,194,0,145,0,0.52734812,0.519444569,0.411467168,0.509620077,1
77,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.613359034,0.011349326,0.120585263,0.190663531,0.064042829,63,0,61,0,0.521786162,0.564868924,0.447829669,0.452071366,1
78,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.559161007,0.016464842,0.039004255,0.336010605,0.049359314,105,0,104,4,0.452765744,0.490186569,0.435744266,0.482904006,1
79,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.603794217,0.082945786,0.089257136,0.192891389,0.031111499,174,11,169,17,0.566629879,0.463017856,0.422898541,0.508679114,1
80,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.232580841,0.265597641,0.10863097,0.19295302,0.200237557,50,0,49,5,0.487679083,0.45911831,0.466801998,0.548093413,1
81,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.264804453,0.407524645,0.066378221,0.211158916,0.050133727,73,0,71,2,0.491914995,0.518076947,0.458109487,0.485112594,1
82,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.810269833,0.022160854,0.039775301,0.112827793,0.014966224,51,0,50,1,0.558087152,0.489947741,0.507670893,0.493893199,1
83,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.882372022,0.002499661,0.012457551,0.097682744,0.004988051,180,77,167,5,0.481358613,0.482605891,0.455051341,0.501490941,1
84,N,DISAGREEMENT,SUBJECTIVE,82,IRONIC,0.538558245,0.050085232,0.137179583,0.252868652,0.021308305,57,11,55,1,0.410247307,0.480005418,0.355184028,0.552676271,1
85,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.736955523,0.004567353,0.042182125,0.212388486,0.003906449,89,0,88,0,0.540114616,0.508545389,0.620651629,0.466939334,1
86,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.804897904,0.008995664,0.069593929,0.093108304,0.023404211,109,0,108,7,0.433695755,0.506172051,0.426401209,0.520836391,1
87,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.621657848,0.013651785,0.054309651,0.301296681,0.00908407,105,0,104,2,0.438447864,0.455638467,0.429021873,0.516728008,1
88,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.22691147,0.111324117,0.108675197,0.467802346,0.085286863,193,0,191,8,0.496559574,0.507536146,0.403672519,0.519144309,1
89,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.488160938,0.098827273,0.057890184,0.230219662,0.124901973,67,22,62,2,0.460592004,0.514326155,0.46996243,0.533951508,1
90,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.569388151,0.050805252,0.072493955,0.22609216,0.081220485,48,11,45,2,0.381164749,0.571576845,0.355226513,0.595397303,1
91,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.681300521,0.013385189,0.025068484,0.278663397,0.001582441,130,11,120,5,0.500563146,0.490173097,0.48375659,0.483253262,1
92,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.522806108,0.080625236,0.081641346,0.246213645,0.068713687,321,0,317,8,0.497386168,0.455001465,0.36174687,0.51097496,1
93,NEU,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.363154352,0.217165768,0.117545888,0.209796786,0.092337206,98,0,93,6,0.444660745,0.478163213,0.402865385,0.537939829,1
94,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.529199839,0.099526636,0.124687612,0.212318882,0.034267038,146,22,143,2,0.488084054,0.513480109,0.407920872,0.507997854,1
95,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.446134418,0.068385758,0.198558465,0.261019886,0.025901457,87,11,85,3,0.52010415,0.491268725,0.487166559,0.501990875,1
96,P,DISAGREEMENT,OBJECTIVE,83,NONIRONIC,0.419108748,0.048970133,0.132297039,0.327171445,0.072452635,105,0,102,2,0.537984873,0.539938116,0.461032465,0.496931969,1
97,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.49535051,0.069001466,0.09647727,0.3037723,0.035398487,81,0,79,0,0.507406759,0.515129448,0.541012605,0.568623002,1
98,N+,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.645800233,0.023870753,0.036959544,0.286574781,0.006794677,114,11,111,2,0.467286253,0.544775013,0.514702945,0.494743245,1
99,P,AGREEMENT,SUBJECTIVE,82,IRONIC,0.37418735,0.11153464,0.299833596,0.1751827,0.039261747,46,0,45,0,0.452424358,0.484319557,0.517856331,0.522490832,1
100,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.68311882,0.01353061,0.064638197,0.23533386,0.003378527,183,22,180,4,0.546330869,0.406664575,0.562221302,0.510039887,1
101,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.476755112,0.038327813,0.137990981,0.311824501,0.035101604,95,11,92,0,0.501260986,0.488037964,0.460757096,0.51089647,1
102,N,AGREEMENT,SUBJECTIVE,90,NONIRONIC,0.633857489,0.04124302,0.0935257,0.21357362,0.017800182,49,0,47,1,0.516637099,0.599688742,0.500862711,0.474860115,1
103,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.527796984,0.016397003,0.068874456,0.373505473,0.013426051,67,0,66,0,0.405345127,0.527353854,0.46697467,0.494880999,1
104,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.841313064,0.017223651,0.01176072,0.120555356,0.009147263,95,11,93,1,0.583184539,0.525692876,0.467616412,0.457775736,1
105,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.565474391,0.039966591,0.091646239,0.290078223,0.012834564,156,0,155,3,0.506588147,0.46856078,0.393121963,0.536359116,1
106,N+,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.46312502,0.027968647,0.102325939,0.353550404,0.053029962,131,11,128,4,0.563836057,0.560180423,0.473793643,0.486474001,1
107,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.402953833,0.045012251,0.061678328,0.323811382,0.166544199,122,0,120,2,0.520663346,0.540546787,0.386816583,0.501100663,1
108,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.79387784,0.008801125,0.016425904,0.164127707,0.016767446,304,11,299,7,0.624894433,0.538944416,0.586206221,0.428068967,1
109,N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.622450471,0.019056095,0.031600852,0.286047816,0.040844828,82,0,77,3,0.464147829,0.535864409,0.363910522,0.505530223,1
110,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.722193301,0.031394772,0.0278788,0.188011616,0.030521505,196,11,192,1,0.517072462,0.474329355,0.512496976,0.522261236,1
111,N,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.73666501,0.012017826,0.02185904,0.216326684,0.013131492,58,0,57,0,0.398762421,0.540091957,0.376099316,0.50473818,1
112,N+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.351448983,0.165710568,0.08141619,0.276076734,0.125347555,97,0,95,7,0.480120866,0.46171732,0.439108819,0.525586795,1
113,NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.374249071,0.040126227,0.03216349,0.511003852,0.042457387,32,0,30,0,0.634654459,0.428778798,0.467078548,0.497250327,1
114,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.875219464,0.003702716,0.010094989,0.109584369,0.00139851,63,0,62,1,0.567975971,0.598988575,0.452927392,0.473414808,1
115,N,AGREEMENT,SUBJECTIVE,82,IRONIC,0.557067275,0.100639954,0.11347425,0.215189338,0.013629191,43,11,40,0,0.444336489,0.662770668,0.440601997,0.466545415,1
116,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.587422013,0.023857702,0.08632119,0.251533419,0.050865665,401,99,383,20,0.377936354,0.511996389,0.416426479,0.557771438,1
117,P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.463597596,0.048147537,0.070751347,0.389868379,0.027635198,43,0,41,1,0.46080421,0.522305697,0.371479176,0.510996248,1
118,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.353762329,0.046862762,0.04661173,0.276934564,0.2758286,59,11,55,0,0.518814219,0.633313516,0.408288538,0.494244434,1
119,NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.297263384,0.015866106,0.219515458,0.417188942,0.050166152,194,0,185,4,0.583678382,0.479931055,0.507622431,0.493173594,1
120,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.396646589,0.035885017,0.106741741,0.449739218,0.010987449,111,11,107,3,0.434357675,0.39490056,0.50028894,0.609940813,1
121,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.567170501,0.050778281,0.075593762,0.17600435,0.13045314,54,0,52,1,0.611197399,0.499105469,0.508904188,0.482781494,1
122,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.740723848,0.025517602,0.038006172,0.194743991,0.001008433,41,0,40,0,0.508567514,0.453764187,0.529485302,0.479940158,1
123,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.557224512,0.106228478,0.045700919,0.270408511,0.020437608,136,22,132,14,0.481732944,0.486636327,0.405400054,0.532047244,1
124,P,DISAGREEMENT,SUBJECTIVE,81,IRONIC,0.634506702,0.05935052,0.083408244,0.210081786,0.012652799,33,0,32,2,0.522103064,0.556149423,0.380680326,0.454319747,1
125,P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.108249366,0.475385159,0.042147044,0.234425902,0.139792517,363,44,317,9,0.577739569,0.499481276,0.432612846,0.497976393,1
126,NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.719696939,0.014802035,0.031186074,0.222970605,0.011344329,200,11,198,7,0.420522901,0.490091987,0.347348641,0.542287731,1
127,N,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.785428286,0.044776581,0.034048431,0.125649199,0.010097508,237,11,231,11,0.531959289,0.465106062,0.441793673,0.498595666,1
128,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.397140145,0.109081224,0.060386449,0.336455077,0.096937098,42,11,40,0,0.510013956,0.563708426,0.453706063,0.492120732,1
129,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.251745373,0.205227658,0.217426091,0.282954097,0.042646799,54,11,52,3,0.584568084,0.520547098,0.435523716,0.468475282,1
130,N+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.788224578,0.032274626,0.03179384,0.12894696,0.018760026,52,11,50,2,0.485007383,0.497330794,0.431893238,0.514400523,1
131,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.458059102,0.04463885,0.069780454,0.389323115,0.038198449,65,0,63,0,0.489081845,0.463690314,0.455143551,0.558736694,1
132,N+,AGREEMENT,SUBJECTIVE,82,IRONIC,0.55847311,0.019413067,0.019124262,0.310849816,0.092139788,97,0,94,2,0.583987025,0.470073578,0.536280204,0.48326728,1
133,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.519464314,0.055346645,0.225362778,0.177234873,0.022591406,194,22,188,1,0.557549184,0.533631663,0.451294866,0.491940943,1
134,N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.612891197,0.076622352,0.163980484,0.13042599,0.016079983,142,0,140,1,0.449134071,0.582945248,0.346668253,0.513518544,1
135,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.583141565,0.013670042,0.060309835,0.24886179,0.094016805,109,0,107,0,0.543740603,0.506444042,0.3991848,0.501892598,1
136,N,AGREEMENT,SUBJECTIVE,89,NONIRONIC,0.43526116,0.023509827,0.114543006,0.39632383,0.03036228,74,0,72,0,0.530927722,0.489943894,0.446811486,0.495425748,1
137,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.678592145,0.021003149,0.065906994,0.18542406,0.049073655,111,22,108,0,0.510140942,0.469837891,0.50631254,0.514125694,1
138,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.60117054,0.025698027,0.104626074,0.259063154,0.009442171,144,0,120,1,0.388188928,0.517636363,0.371538516,0.536067433,1
139,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.708950818,0.015175617,0.019377045,0.242096543,0.014399923,64,11,59,1,0.436350556,0.528895298,0.409900939,0.514372296,1
140,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.416617334,0.061304785,0.087012522,0.414979517,0.020085825,127,11,123,1,0.401483572,0.501789421,0.423548386,0.551328307,1
141,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.478717834,0.053611502,0.285175115,0.180729076,0.001766482,76,0,75,2,0.451070002,0.516505226,0.379611558,0.516737621,1
142,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.557133734,0.021237751,0.031118087,0.374268234,0.016242156,459,11,446,22,0.463282551,0.470633746,0.421025135,0.513484314,1
